sample_ID,date,site_name,type,d18O,d2H,lat,lon,cluster_location_time,
209,1/4/2018,"Best Stop at 179 &
303 Richfield OH tap",GW,-9.14,-58.68,41.23993333,-81.653825,Cleveland_Jan-Feb-18,
212,1/4/2018,"Giant Eagle grocery
store at 43 & 303/14
Streetsboro OH tap",GW,-8.64,-57.62,41.23806389,-81.34747778,Cleveland_Jan-Feb-18,
213,1/4/2018,"McGilvery Hall Kent
OH tap",GW,-8.31,-55.47,41.15043056,-81.35086111,Cleveland_Jan-Feb-18,
201,1/4/2018,Circle K gas station corner som center rd & mayfield rd/ 91 &322 Mayfield OH tap,Lake Erie,-6.364263727,-48.6671278,41.52046111,-81.43910278,Cleveland_Jan-Feb-18,
205,1/4/2018,Shell gas station at 82 & 43 in Aurora OH,Lake Erie,-6.510153437,-49.53251814,41.31768889,-81.35078889,Cleveland_Jan-Feb-18,
122,1/12/2018,"Long Science Center
Tap Water",GW,-6.23,-40.3,41.61445,-81.29389444,Cleveland_Jan-Feb-18,
224,2/4/2018,"Shell Gas station at
33 & 82 Tap grab",GW,-9.69,-63.09,41.31066389,-81.22136111,Cleveland_Jan-Feb-18,
122.01,7/21/2018,"Long Science Center
Tap Water",GW,-9.96,-64.7,41.61445,-81.29389444,Cleveland_Jul-Aug-18,
125.01,7/28/2018,"Speedway gas
station corner Lynn
and Prospect
Rootstown, OH Tap",GW,-8.73,-58.15,41.11084722,-81.24344444,Cleveland_Jul-Aug-18,
126.01,7/28/2018,"Marathon Gas
station corner of 44
and 224 Randolph,
OH, Tap",GW,-8.89,-57.75,41.02963889,-81.24863056,Cleveland_Jul-Aug-18,
127.01,7/28/2018,"Speedway gas
station corner of 224
and 91 (1275) tap
Lakemore, OH",GW,-6.98,-48.14,41.03089167,-81.42650556,Cleveland_Jul-Aug-18,
130.01,7/28/2018,"Circle K gas station
at 21 and eastern Rd
Norton, OH Tap",GW,-8.16,-53.59,40.98918056,-81.66439444,Cleveland_Jul-Aug-18,
131.01,7/28/2018,"Circle K gas station
at Broad and
Silvercreek Rd
Wadsworth, OH Tao",GW,-8.99,-58.87,40.99823056,-81.81000833,Cleveland_Jul-Aug-18,
132.01,7/28/2018,"Circle K gas station
at 76 and 3 seville
Tap",GW,-8.9,-58.45,41.03584722,-81.86499167,Cleveland_Jul-Aug-18,
133.01,7/28/2018,"BP minimart Lake Rd
and Reid Rd
Chippew on the
Lake, OH tap",GW,-8.64,-56.63,40.99813611,-81.80991111,Cleveland_Jul-Aug-18,
135.01,7/28/2018,"Speedway at 42
Pearl Rd and Oxford
Dr Tap, Brunswick
OH",GW,-6.91,-51.71,41.23296111,-81.84114167,Cleveland_Jul-Aug-18,
136.01,7/28/2018,"Sheetz at Whitney
Rd and Pearl Rd/ 42
Middleburg Hts, OH
tap",GW,-6.84,-51.5,41.34346389,-81.82559722,Cleveland_Jul-Aug-18,
144.01,7/29/2018,"Circle K gas stationa
Atwater at 183 and
224 Tap",GW,-8.7,-56.17,41.02403056,-81.14753333,Cleveland_Jul-Aug-18,
145.01,7/29/2018,"Army corps of eng.
Berlin, OH Berlin
Lake Bedell Rd South
of 224 Tap",GW,-9.08,-59.62,41.01521389,-80.98703056,Cleveland_Jul-Aug-18,
146.01,7/29/2018,"Sunoco Gas station
at 45 and 224
Ellsworth, OH tap",GW,-9.65,-63.95,41.02395556,-80.85779167,Cleveland_Jul-Aug-18,
147.01,7/29/2018,"Sheetz Gas station
at 11 and 224 in
Canfield OH Tap",GW,-5.62,-41.74,41.024025,-80.73642222,Cleveland_Jul-Aug-18,
157.01,7/29/2018,"Scotty's Brookfield
express mark on
Warren Sharon Rd
and Bedford SE
Brookfield OH",GW,-7.74,-53.37,41.23343889,-80.56406667,Cleveland_Jul-Aug-18,
158.01,7/29/2018,"Get Go gas station
on Niles courtland
road SE and East
market, Howland
Corners tap",GW,-7.72,-53.18,41.23781389,-80.74012778,Cleveland_Jul-Aug-18,
159.01,7/29/2018,"Circle K 4021 N
Leavitt Rd and
Parkman Rd NW
warren OH",GW,-6.26,-45.78,41.25901667,-80.86846667,Cleveland_Jul-Aug-18,
162.01,7/29/2018,"Lakeside sport shop.
Warren Meedville
Rd and Wilson
Sharpvill Rd",GW,-9.03,-58.87,41.30843889,-80.74424722,Cleveland_Jul-Aug-18,
164.01,7/29/2018,"Quinns Mini Mart at
193 and 88 Johnson
OH",GW,-8.53,-55.18,41.38848333,-80.66543611,Cleveland_Jul-Aug-18,
165.01,7/29/2018,"JAK's fine foods and
gas station on 88
and 45 greenville Rd
and Niles Courtland
Rd NE Tap",GW,-9.22,-59.61,41.3898,-80.73615,Cleveland_Jul-Aug-18,
171.01,7/29/2018,"Quinns grocery store
St rte 45 4of 87
North Bloomfield",GW,-9.59,-62.8,41.46293333,-80.86876667,Cleveland_Jul-Aug-18,
173.01,7/29/2018,"Post Office in
williamsfield OH tap
on 322 W of 7",GW,-8.88,-57.29,41.53346667,-80.57258333,Cleveland_Jul-Aug-18,
174.01,7/29/2018,"Colebrook Lounge on
322 east of 46
Colebrook OH tap",GW,-8.41,-53.7,41.53628611,-80.75740833,Cleveland_Jul-Aug-18,
175.01,7/29/2018,"JD's pit stop 322/
main st and Satley
rd Orwell OH tap",GW,-8.81,-57.5,41.53536667,-80.84476111,Cleveland_Jul-Aug-18,
176.01,7/29/2018,"Primary health
network 5266 state
rte 45 Rome OH tap",GW,-7.03,-52.48,41.60563056,-80.86491944,Cleveland_Jul-Aug-18,
177.01,7/29/2018,"BP gas station at 6
and 46 New Lyme,
OH grand army of
the republic hay tap",GW,-3.33,-34.33,41.60508056,-80.78075833,Cleveland_Jul-Aug-18,
195.01,7/29/2018,"McDonalds at W
high St & springdale
ave in Middlefield
OH tap",GW,-9.94,-65.39,41.46235833,-81.08603889,Cleveland_Jul-Aug-18,
166.01,7/30/2018,"Detour Drive thru on
303/88 on Hadson
Breeville Rd
Freedom OH tap",GW,-9.22,-60.38,41.23605,-81.1443,Cleveland_Jul-Aug-18,
168.01,7/30/2018,"Skylane Bowling
Alley 82 and Liberty
St tap Garrettsville
OH",GW,-9.55,-62.85,41.27766944,-81.09004444,Cleveland_Jul-Aug-18,
169.01,7/30/2018,"BP gas station at 88
and 422 Main
market Rd and
Madison Rd tap
Elwood/Spike
Weaver grand river
access Parkman OH",GW,-9.75,-63.76,41.37063889,-81.06357778,Cleveland_Jul-Aug-18,
179.01,7/30/2018,"Bushnell store tap at
7 and 84 center rd
and bushnell",GW,-9.69,-62.95,41.863025,-80.57206667,Cleveland_Jul-Aug-18,
193.01,7/30/2018,"Baitshop on corner
og Washington ST &
ravenna Rd/ 44
Auburn corner OH
business for sale Tap",GW,-9.21,-60.21,41.38706111,-81.21658611,Cleveland_Jul-Aug-18,
194.01,7/30/2018,"87 New Berry OH
tap",GW,-9.61,-62.29,41.47066111,-81.193275,Cleveland_Jul-Aug-18,
196.01,7/30/2018,"Montville country
store at 528 & 6 /
Madison rd & GAR
hwy Mintville OH
tap",GW,-10.03,-65.33,41.60745556,-81.05078056,Cleveland_Jul-Aug-18,
197.01,7/30/2018,"Stockers on the park
resturaunt on 527 in
circle thompson OH",GW,-7.15,-46.51,41.68977778,-81.05070278,Cleveland_Jul-Aug-18,
198.01,7/30/2018,"Hambden Corners
gas station at 166 &
GAR hwy tap
Hambden Corners
OH",GW,-9.95,-64.77,41.60692778,-81.14348611,Cleveland_Jul-Aug-18,
199.01,7/30/2018,"Circle K & 6 & 306
Chillcothe rd &
Chardon Rd tap
Pecks Corners OH",GW,-6.73,-50.75,41.58361667,-81.3481,Cleveland_Jul-Aug-18,
200.01,7/30/2018,"Pizza Hut on
Chillcothe rd &
Mayfield OH tap",GW,-10.27,-67.53,41.52306667,-81.33858333,Cleveland_Jul-Aug-18,
204.01,7/31/2018,"McDonalds at
Chillcothe Rd &
Chagrin Rd Bain
Bridge OH tap",GW,-9.67,-63.42,41.389825,-81.34023611,Cleveland_Jul-Aug-18,
206.01,7/31/2018,"Panera Bread at 91
& 480/14 Twinsburg
OH tap",GW,-6.82,-51.32,41.30866111,-81.44175833,Cleveland_Jul-Aug-18,
207.01,7/31/2018,"Speedway gas
station at east aurora Rd & S Bedford Rd/ freeway Dr Macedonia OH tap",GW,-6.84,-51.44,41.31433333,-81.51178333,Cleveland_Jul-Aug-18,
208.01,7/31/2018,"8952 Brecksville Rd
& shell gas station
Arlington St
Brecksville OH tap",GW,-6.82,-51.35,41.31866944,-81.62736389,Cleveland_Jul-Aug-18,
209.01,7/31/2018,"Best Stop at 179 &
303 Richfield OH tap",GW,-8.81,-57.18,41.23993333,-81.653825,Cleveland_Jul-Aug-18,
212.01,7/31/2018,"Giant Eagle grocery
store at 43 & 303/14
Streetsboro OH tap",GW,-8.75,-58.49,41.23806389,-81.34747778,Cleveland_Jul-Aug-18,
213.01,7/31/2018,"McGilvery Hall Kent
OH tap",GW,-8.37,-56.3,41.15043056,-81.35086111,Cleveland_Jul-Aug-18,
224.01,8/4/2018,"Shell Gas station at
33 & 82 Tap grab",GW,-9.65,-63.03,41.31066389,-81.22136111,Cleveland_Jul-Aug-18,
